domain,niche,city,state,pop,vol,cpc,lead_value,top5_pages_med,top5_pages_min,top10_pages_med,winner_words_med,local_in_top10,directories_in_top10,winners_measured,score,query,alt
dentrepairrockwall.com,paintless dent repair,Rockwall,TX,40922,140,15.48,2167,32,12,57,1199,6,4,4,80.4,paintless dent repair rockwall,rockwalldentrepairpros.com | rockwalldentrepairco.com
ocalapressurewashingco.com,pressure washing,Ocala,FL,57468,320,6.44,2061,16.0,9,16,824,7,3,2,79.7,pressure washing ocala,pressurewashingofocala.com
bradentonpressurewashingpros.com,pressure washing,Bradenton,FL,51763,320,6.17,1974,1,1,1,,7,3,1,79.2,pressure washing bradenton,bradentonpressurewashingco.com | pressurewashingofbradenton.com
summervillewindowtinting.com,window tinting,Summerville,SC,46074,880,5.98,5262,62,2,1183,829,7,3,4,79,window tinting summerville,windowtintingsummerville.com | summervillewindowtintingpros.com
hesperiasepticpumping.com,septic tank pumping,Hesperia,CA,92147,110,101.86,11205,29,16,44,1710,7,3,4,79,septic tank pumping hesperia,septicpumpinghesperia.com | hesperiasepticpumpingpros.com
pensacolapressurewashingpros.com,pressure washing,Pensacola,FL,52703,590,7.44,4390,39.5,33,42,992,7,3,5,79,pressure washing pensacola,pensacolapressurewashingco.com | pressurewashingofpensacola.com
littletondryerventcleaning.com,dryer vent cleaning,Littleton,CO,44275,70,41.54,2908,99,1,137,989,7,3,4,78.4,dryer vent cleaning littleton,dryerventcleaninglittleton.com | littletondryerventcleaningpros.com
manassaschimneysweep.com,chimney sweep,Manassas,VA,41705,90,20.45,1840,3.0,1,3,815,7,3,2,78.3,chimney sweep manassas,chimneysweepmanassas.com | manassaschimneysweeppros.com
kissimmeejunkremovalpros.com,junk removal,Kissimmee,FL,65173,260,26.67,6934,28,28,28,891,5,5,3,78,junk removal kissimmee,kissimmeejunkremovalco.com | junkremovalofkissimmee.com
kirklandjunkremovalpros.com,junk removal,Kirkland,WA,84430,480,22.93,11006,91.0,8,102,1555,5,5,4,78,junk removal kirkland,kirklandjunkremovalco.com
castlerockjunkremovalpros.com,junk removal,Castle Rock,CO,53063,210,30.29,6361,62,25,62,708,5,5,3,78,junk removal castle rock,castlerockjunkremovalco.com | junkremovalofcastlerock.com
conroelandclearingpros.com,land clearing,Conroe,TX,63032,140,18.12,2537,47.0,12,47,1690,6,4,4,77.9,land clearing conroe,conroelandclearingco.com | landclearingofconroe.com
bellinghamroofcleaningpros.com,roof cleaning,Bellingham,WA,82631,170,24.01,4082,49,40,49,1220,6,4,5,76,roof cleaning bellingham,bellinghamroofcleaningco.com | roofcleaningofbellingham.com
kissimmeeairductcleaningpros.com,air duct cleaning,Kissimmee,FL,65173,260,39.82,10353,56,5,36,836,6,4,4,76,air duct cleaning kissimmee,kissimmeeairductcleaningco.com | airductcleaningofkissimmee.com
hendersonvillesepticpumping.com,septic tank pumping,Hendersonville,TN,54068,90,24.47,2202,29.0,26,32,638,6,4,3,75.7,septic tank pumping hendersonville,septicpumpinghendersonville.com | hendersonvillesepticpumpingpros.com
conroedumpsterrentalpros.com,dumpster rental,Conroe,TX,63032,480,12.77,6130,63,4,167,816,7,3,4,74,dumpster rental conroe,conroedumpsterrentalco.com | dumpsterrentalofconroe.com
macondumpsterrentalpros.com,dumpster rental,Macon,GA,89981,590,8.61,5080,66,7,66,616,7,3,4,74,dumpster rental macon,macondumpsterrentalco.com | dumpsterrentalofmacon.com
apexairductcleaningpros.com,air duct cleaning,Apex,NC,42214,720,15.39,11081,83.0,11,148,725,7,3,6,74,air duct cleaning apex,apexairductcleaningco.com | airductcleaningofapex.com
fortsmithwindowtinting.com,window tinting,Fort Smith,AR,87650,320,5.12,1638,31.0,21,41,790,4,6,3,73.9,window tinting fort smith,windowtintingfortsmith.com | fortsmithwindowtintingpros.com
tracywindowtinting.com,window tinting,Tracy,CA,84691,320,6.41,2051,25,25,22,180,5,5,2,73.7,window tinting tracy,windowtintingtracy.com | tracywindowtintingpros.com
septicpumpingwarnerrobins.com,septic tank pumping,Warner Robins,GA,72531,140,42.74,5984,96,13,96,1050,5,5,3,73,septic tank pumping warner robins,warnerrobinssepticpumpingpros.com | warnerrobinssepticpumpingco.com
yubacitywindowtinting.com,window tinting,Yuba City,CA,65416,320,5.42,1734,30,15,23,632,6,4,4,72.6,window tinting yuba city,windowtintingyubacity.com | yubacitywindowtintingpros.com
conwaywindowtinting.com,window tinting,Conway,AR,63816,320,5.79,1853,13.0,11,13,801,4,6,2,72.4,window tinting conway,conwaywindowtintingpros.com | conwaywindowtintingco.com
towingfortmyers.com,towing service,Fort Myers,FL,68190,210,8.97,1884,7.5,7,7,583,8,2,2,71.6,towing service fort myers,fortmyerstowingpros.com | towingoffortmyers.com
lynchburgchimneysweep.com,chimney sweep,Lynchburg,VA,78014,140,12.26,1716,13,13,38,529,4,6,2,71.4,chimney sweep lynchburg,chimneysweeplynchburg.com | lynchburgchimneysweeppros.com
